customerId,firstName,lastName,email,city,state,country,zipcode
1,Sai,Verma,sai.verma1@example.com,Pune,Maharashtra,India,536020
2,Sai,Rao,sai.rao2@example.com,Kolkata,West Bengal,India,524974
3,Pooja,Kapoor,pooja.kapoor3@example.com,Mumbai,Maharashtra,India,597681
4,Sai,Iyer,sai.iyer4@example.com,Chennai,Tamil Nadu,India,586163
5,Ananya,Sharma,ananya.sharma5@example.com,Jaipur,Rajasthan,India,525480
6,Rohan,Reddy,rohan.reddy6@example.com,Bengaluru,Karnataka,India,571629
7,Aditi,Malhotra,aditi.malhotra7@example.com,Jaipur,Rajasthan,India,570766
8,Riya,Malhotra,riya.malhotra8@example.com,Ahmedabad,Gujarat,India,522867
9,Aarav,Reddy,aarav.reddy9@example.com,Ahmedabad,Gujarat,India,524370
10,Pooja,Kapoor,pooja.kapoor10@example.com,Delhi,Delhi,India,580124
11,Pooja,Kapoor,pooja.kapoor11@example.com,Pune,Maharashtra,India,515858
12,Aditya,Iyer,aditya.iyer12@example.com,Mumbai,Maharashtra,India,599636
13,Vihaan,Verma,vihaan.verma13@example.com,Kochi,Kerala,India,513570
14,Isha,Verma,isha.verma14@example.com,Kochi,Kerala,India,555965
15,Rahul,Kapoor,rahul.kapoor15@example.com,Ahmedabad,Gujarat,India,539374
16,Rahul,Rao,rahul.rao16@example.com,Kolkata,West Bengal,India,529376
17,Aditi,Kapoor,aditi.kapoor17@example.com,Chennai,Tamil Nadu,India,578478
18,Ananya,Verma,ananya.verma18@example.com,Jaipur,Rajasthan,India,572871
19,Rahul,Mehta,rahul.mehta19@example.com,Hyderabad,Telangana,India,573542
20,Karan,Kapoor,karan.kapoor20@example.com,Bengaluru,Karnataka,India,564824
21,Aditya,Rao,aditya.rao21@example.com,Ahmedabad,Gujarat,India,543071
22,Vihaan,Iyer,vihaan.iyer22@example.com,Hyderabad,Telangana,India,535954
23,Neha,Gupta,neha.gupta23@example.com,Bengaluru,Karnataka,India,531086
24,Rohan,Mehta,rohan.mehta24@example.com,Mumbai,Maharashtra,India,584081
25,Sneha,Patel,sneha.patel25@example.com,Pune,Maharashtra,India,552183
26,Pooja,Verma,pooja.verma26@example.com,Jaipur,Rajasthan,India,511841
27,Karan,Kapoor,karan.kapoor27@example.com,Hyderabad,Telangana,India,513357
28,Sai,Malhotra,sai.malhotra28@example.com,Kochi,Kerala,India,596325
29,Vivaan,Gupta,vivaan.gupta29@example.com,Kolkata,West Bengal,India,569817
30,Riya,Malhotra,riya.malhotra30@example.com,Bengaluru,Karnataka,India,531926
31,Aarav,Iyer,aarav.iyer31@example.com,Delhi,Delhi,India,596314
32,Aditi,Gupta,aditi.gupta32@example.com,Mumbai,Maharashtra,India,574980
33,Arjun,Patel,arjun.patel33@example.com,Kolkata,West Bengal,India,573610
34,Ananya,Kapoor,ananya.kapoor34@example.com,Chennai,Tamil Nadu,India,582272
35,Aditya,Malhotra,aditya.malhotra35@example.com,Ahmedabad,Gujarat,India,522066
36,Pooja,Iyer,pooja.iyer36@example.com,Delhi,Delhi,India,507095
37,Arjun,Iyer,arjun.iyer37@example.com,Mumbai,Maharashtra,India,554378
38,Aarav,Rao,aarav.rao38@example.com,Mumbai,Maharashtra,India,588122
39,Vihaan,Mehta,vihaan.mehta39@example.com,Kolkata,West Bengal,India,557098
40,Nisha,Kapoor,nisha.kapoor40@example.com,Ahmedabad,Gujarat,India,595890
41,Sneha,Patel,sneha.patel41@example.com,Bengaluru,Karnataka,India,561712
42,Rohan,Patel,rohan.patel42@example.com,Kochi,Kerala,India,526343
43,Isha,Sharma,isha.sharma43@example.com,Bengaluru,Karnataka,India,540222
44,Aditya,Reddy,aditya.reddy44@example.com,Delhi,Delhi,India,505000
45,Nisha,Gupta,nisha.gupta45@example.com,Ahmedabad,Gujarat,India,578497
46,Karan,Kapoor,karan.kapoor46@example.com,Mumbai,Maharashtra,India,574983
47,Aditi,Reddy,aditi.reddy47@example.com,Kochi,Kerala,India,533385
48,Diya,Kapoor,diya.kapoor48@example.com,Mumbai,Maharashtra,India,519451
49,Ananya,Iyer,ananya.iyer49@example.com,Delhi,Delhi,India,590243
50,Rahul,Malhotra,rahul.malhotra50@example.com,Kolkata,West Bengal,India,596974
51,Karan,Malhotra,karan.malhotra51@example.com,Hyderabad,Telangana,India,544138
52,Krishna,Gupta,krishna.gupta52@example.com,Delhi,Delhi,India,500472
53,Rahul,Malhotra,rahul.malhotra53@example.com,Jaipur,Rajasthan,India,586631
54,Nisha,Malhotra,nisha.malhotra54@example.com,Jaipur,Rajasthan,India,514784
55,Pooja,Patel,pooja.patel55@example.com,Bengaluru,Karnataka,India,587036
56,Krishna,Verma,krishna.verma56@example.com,Delhi,Delhi,India,537640
57,Isha,Mehta,isha.mehta57@example.com,Pune,Maharashtra,India,597917
58,Arjun,Gupta,arjun.gupta58@example.com,Mumbai,Maharashtra,India,520498
59,Nisha,Kapoor,nisha.kapoor59@example.com,Jaipur,Rajasthan,India,533911
60,Riya,Rao,riya.rao60@example.com,Kochi,Kerala,India,562877
61,Ananya,Patel,ananya.patel61@example.com,Ahmedabad,Gujarat,India,588752
62,Riya,Malhotra,riya.malhotra62@example.com,Delhi,Delhi,India,585400
63,Neha,Gupta,neha.gupta63@example.com,Chennai,Tamil Nadu,India,541267
64,Sai,Kapoor,sai.kapoor64@example.com,Jaipur,Rajasthan,India,534717
65,Karan,Gupta,karan.gupta65@example.com,Jaipur,Rajasthan,India,558413
66,Kavya,Mehta,kavya.mehta66@example.com,Mumbai,Maharashtra,India,509331
67,Diya,Patel,diya.patel67@example.com,Ahmedabad,Gujarat,India,572387
68,Vihaan,Verma,vihaan.verma68@example.com,Bengaluru,Karnataka,India,571005
69,Vihaan,Verma,vihaan.verma69@example.com,Jaipur,Rajasthan,India,548664
70,Nisha,Kapoor,nisha.kapoor70@example.com,Delhi,Delhi,India,569802
71,Ananya,Rao,ananya.rao71@example.com,Mumbai,Maharashtra,India,500700
72,Neha,Reddy,neha.reddy72@example.com,Delhi,Delhi,India,506942
73,Kavya,Sharma,kavya.sharma73@example.com,Jaipur,Rajasthan,India,533190
74,Krishna,Patel,krishna.patel74@example.com,Ahmedabad,Gujarat,India,531673
75,Rahul,Sharma,rahul.sharma75@example.com,Kolkata,West Bengal,India,519181
76,Rahul,Kapoor,rahul.kapoor76@example.com,Hyderabad,Telangana,India,530823
77,Krishna,Mehta,krishna.mehta77@example.com,Kolkata,West Bengal,India,584871
78,Aditya,Gupta,aditya.gupta78@example.com,Jaipur,Rajasthan,India,555192
79,Sai,Malhotra,sai.malhotra79@example.com,Pune,Maharashtra,India,595604
80,Rohan,Verma,rohan.verma80@example.com,Mumbai,Maharashtra,India,530559
81,Kavya,Sharma,kavya.sharma81@example.com,Mumbai,Maharashtra,India,592913
82,Ananya,Patel,ananya.patel82@example.com,Ahmedabad,Gujarat,India,545541
83,Sneha,Rao,sneha.rao83@example.com,Kolkata,West Bengal,India,515230
84,Vihaan,Reddy,vihaan.reddy84@example.com,Bengaluru,Karnataka,India,548728
85,Rohan,Reddy,rohan.reddy85@example.com,Pune,Maharashtra,India,532249
86,Aditi,Iyer,aditi.iyer86@example.com,Kochi,Kerala,India,539832
87,Aditya,Gupta,aditya.gupta87@example.com,Delhi,Delhi,India,536925
88,Ananya,Kapoor,ananya.kapoor88@example.com,Delhi,Delhi,India,518705
89,Aditi,Kapoor,aditi.kapoor89@example.com,Jaipur,Rajasthan,India,578365
90,Neha,Patel,neha.patel90@example.com,Kolkata,West Bengal,India,535285
91,Nisha,Kapoor,nisha.kapoor91@example.com,Hyderabad,Telangana,India,532323
92,Diya,Verma,diya.verma92@example.com,Kolkata,West Bengal,India,521148
93,Aditya,Malhotra,aditya.malhotra93@example.com,Jaipur,Rajasthan,India,555660
94,Aditya,Verma,aditya.verma94@example.com,Hyderabad,Telangana,India,584874
95,Rahul,Patel,rahul.patel95@example.com,Jaipur,Rajasthan,India,515796
96,Riya,Gupta,riya.gupta96@example.com,Pune,Maharashtra,India,575484
97,Ananya,Mehta,ananya.mehta97@example.com,Mumbai,Maharashtra,India,552121
98,Rahul,Sharma,rahul.sharma98@example.com,Delhi,Delhi,India,581315
99,Nisha,Mehta,nisha.mehta99@example.com,Hyderabad,Telangana,India,584362
100,Diya,Kapoor,diya.kapoor100@example.com,Hyderabad,Telangana,India,568888
101,Arjun,Gupta,arjun.gupta101@example.com,Chennai,Tamil Nadu,India,566657
102,Riya,Malhotra,riya.malhotra102@example.com,Hyderabad,Telangana,India,523091
103,Neha,Gupta,neha.gupta103@example.com,Kolkata,West Bengal,India,517859
104,Neha,Mehta,neha.mehta104@example.com,Pune,Maharashtra,India,558713
105,Arjun,Rao,arjun.rao105@example.com,Hyderabad,Telangana,India,531542
106,Neha,Sharma,neha.sharma106@example.com,Kolkata,West Bengal,India,579361
107,Vivaan,Verma,vivaan.verma107@example.com,Chennai,Tamil Nadu,India,551770
108,Aditya,Reddy,aditya.reddy108@example.com,Pune,Maharashtra,India,569598
109,Nisha,Reddy,nisha.reddy109@example.com,Pune,Maharashtra,India,542650
110,Rahul,Iyer,rahul.iyer110@example.com,Jaipur,Rajasthan,India,556784
111,Diya,Malhotra,diya.malhotra111@example.com,Kochi,Kerala,India,520742
112,Pooja,Reddy,pooja.reddy112@example.com,Hyderabad,Telangana,India,533221
113,Sneha,Mehta,sneha.mehta113@example.com,Chennai,Tamil Nadu,India,562581
114,Karan,Gupta,karan.gupta114@example.com,Ahmedabad,Gujarat,India,504424
115,Arjun,Mehta,arjun.mehta115@example.com,Pune,Maharashtra,India,517468
116,Krishna,Iyer,krishna.iyer116@example.com,Chennai,Tamil Nadu,India,576137
117,Rahul,Gupta,rahul.gupta117@example.com,Hyderabad,Telangana,India,535818
118,Neha,Malhotra,neha.malhotra118@example.com,Delhi,Delhi,India,504859
119,Nisha,Iyer,nisha.iyer119@example.com,Chennai,Tamil Nadu,India,547201
120,Aditya,Kapoor,aditya.kapoor120@example.com,Chennai,Tamil Nadu,India,577445
121,Aditya,Sharma,aditya.sharma121@example.com,Hyderabad,Telangana,India,516579
122,Arjun,Mehta,arjun.mehta122@example.com,Hyderabad,Telangana,India,500444
123,Rohan,Mehta,rohan.mehta123@example.com,Kolkata,West Bengal,India,563098
124,Ananya,Patel,ananya.patel124@example.com,Bengaluru,Karnataka,India,569767
125,Vihaan,Patel,vihaan.patel125@example.com,Delhi,Delhi,India,554875
126,Riya,Gupta,riya.gupta126@example.com,Bengaluru,Karnataka,India,512549
127,Sneha,Gupta,sneha.gupta127@example.com,Pune,Maharashtra,India,586427
128,Aarav,Rao,aarav.rao128@example.com,Chennai,Tamil Nadu,India,587178
129,Rahul,Reddy,rahul.reddy129@example.com,Chennai,Tamil Nadu,India,508350
